"Identifier","Akt","mTOR","Akt_0.7_0.6","mTOR_0.7_0.6","Akt_0.7_0.7","mTOR_0.7_0.7","Akt_0.7_0.8","mTOR_0.7_0.8","Akt_0.7_0.9","mTOR_0.7_0.9","Akt_0.7_1","mTOR_0.7_1","Akt_0.8_0.6","mTOR_0.8_0.6","Akt_0.8_0.7","mTOR_0.8_0.7","Akt_0.8_0.8","mTOR_0.8_0.8","Akt_0.8_0.9","mTOR_0.8_0.9","Akt_0.8_1","mTOR_0.8_1","Akt_0.9_0.6","mTOR_0.9_0.6","Akt_0.9_0.7","mTOR_0.9_0.7","Akt_0.9_0.8","mTOR_0.9_0.8","Akt_0.9_0.9","mTOR_0.9_0.9","Akt_0.9_1","mTOR_0.9_1","Akt_0.95_0.6","mTOR_0.95_0.6","Akt_0.95_0.7","mTOR_0.95_0.7","Akt_0.95_0.8","mTOR_0.95_0.8","Akt_0.95_0.9","mTOR_0.95_0.9","Akt_0.95_1","mTOR_0.95_1"
"BRWD1;1890;",NA,NA,0.025,0.334,0.04,0.088,0.006,0.152,0.015,0.275,0.013,0.066,0.017,0.179,0.01,0.121,0.004,0.188,0.023,0.181,0.021,0.122,0.014,0.223,0.003,0.24,0.004,0.461,0.008,0.123,0.005,0.297,0.089,0.266,0.129,0.164,0.089,0.294,0.175,0.214,0.047,0.34
"BRWD1;697;",NA,NA,0.146,0.237,0.081,0.371,0.12,0.152,0.241,0.178,0.024,0.283,0.108,0.365,0.363,0.282,0.221,0.363,0.25,0.397,0.13,0.535,0.169,0.51,0.48,0.542,0.092,0.319,0.102,0.114,0.02,0.375,0.192,0.296,0.026,0.224,0.043,0.229,0.014,0.788,0.18,0.352
"BSAC;403;",NA,NA,0.084,0.371,0.003,0.78,0.001,0.901,0.005,0.741,0.014,0.948,0.031,0.837,0.021,0.825,0.005,0.659,0.012,0.508,0.005,0.671,0.021,0.608,0.025,0.538,0.016,0.596,0.005,0.787,0.005,0.555,0.018,0.511,0.026,0.578,0.029,0.533,0.023,0.664,0.017,0.634
"BSAC;407;",NA,NA,0.081,0.661,0.007,0.795,0.001,0.686,0,0.785,0.008,0.427,0.025,0.835,0.007,0.779,0.004,0.722,0.012,0.575,0,0.469,0.001,0.403,0.009,0.748,0.008,0.412,0.002,0.784,0,0.641,0.031,0.423,0.016,0.446,0.023,0.713,0.024,0.494,0.015,0.585
"BSAC;520;",NA,NA,0.122,0.214,0.048,0.43,0.103,0.228,0.242,0.464,0.007,0.323,0.104,0.38,0.2,0.357,0.221,0.569,0.182,0.527,0.119,0.613,0.13,0.502,0.476,0.227,0.078,0.632,0.078,0.077,0.023,0.298,0.26,0.214,0.119,0.206,0.114,0.142,0.179,0.81,0.186,0.317
"BSAC;6;",NA,NA,0.19,0.921,0.11,0.918,0.143,0.996,0.235,0.947,0.015,0.866,0.189,0.811,0.228,0.879,0.223,0.816,0.171,0.883,0.143,0.946,0.152,0.882,0.466,0.889,0.06,0.892,0.083,0.838,0.025,0.854,0.18,0.656,0.061,0.826,0.026,0.909,0.012,0.978,0.161,0.868
"BSCL2;361;",NA,NA,0.002,0.253,0.006,0.095,0,0.042,0,0.068,0.01,0.234,0.005,0.141,0.005,0.105,0,0.135,0.028,0.087,0.002,0.025,0.008,0.087,0.003,0.134,0.012,0.367,0.001,0.047,0.001,0.22,0.007,0.14,0.015,0.235,0.004,0.192,0.003,0.209,0.001,0.196
"BSCL2;364;",NA,NA,0,0.217,0.002,0.07,0.001,0.072,0,0.106,0.012,0.08,0.009,0.157,0.006,0.282,0,0.161,0.026,0.128,0.001,0.06,0.007,0.166,0.006,0.18,0.002,0.458,0,0.184,0.001,0.235,0.006,0.22,0.003,0.234,0.001,0.18,0.005,0.212,0,0.255
"BSCL2;381;",NA,NA,0,0.175,0.003,0.033,0,0.247,0,0.094,0.004,0.196,0.013,0.188,0.014,0.367,0,0.365,0.03,0.188,0.003,0.116,0.011,0.24,0.009,0.295,0.002,0.305,0.004,0.173,0,0.152,0.027,0.204,0.018,0.317,0.008,0.183,0.01,0.128,0,0.178
"BSDC1;384;",NA,NA,0.113,0.371,0.044,0.411,0.107,0.099,0.226,0.229,0.009,0.161,0.12,0.33,0.222,0.32,0.208,0.499,0.191,0.497,0.13,0.599,0.135,0.463,0.454,0.138,0.061,0.378,0.077,0.131,0.032,0.289,0.24,0.208,0.057,0.237,0.063,0.164,0.094,0.826,0.174,0.328
"BSG;374;",NA,NA,0.008,0.137,0.004,0.17,0.221,0.126,0.002,0.074,0.012,0.444,0.086,0.019,0.058,0.014,0.02,0.015,0.018,0.042,0.051,0.001,0.04,0.019,0.006,0.018,0.139,0.029,0.012,0.028,0.01,0.006,0.004,0.069,0.012,0.145,0.161,0.039,0.021,0.009,0.249,0.046
"BTAF1;236;",NA,NA,0,0.121,0.004,0.004,0,0.064,0,0.03,0.003,0.114,0.004,0.111,0.007,0.111,0,0.088,0.027,0.094,0.003,0.017,0.01,0.086,0.008,0.027,0.01,0.062,0.002,0.155,0.001,0.015,0.008,0.178,0.004,0.207,0.002,0.088,0.004,0.07,0.002,0.084
"BTAF1;237;",NA,NA,0.009,0.102,0.01,0.109,0.001,0.205,0,0.058,0.014,0.294,0.007,0.065,0.012,0.087,0,0.109,0.04,0.072,0.001,0.013,0.023,0.063,0.016,0.006,0.02,0.211,0.015,0.031,0.003,0.043,0.027,0.163,0.03,0.114,0.015,0.102,0.031,0.066,0.025,0.167
"BTBD15;161;",NA,NA,0.494,0.349,0.331,0.581,0.069,0.449,0.864,0.306,0.131,0.419,0.558,0.285,0.448,0.318,0.32,0.462,0.601,0.333,0.294,0.478,0.341,0.522,0.385,0.106,0.191,0.518,0.499,0.36,0.172,0.173,0.506,0.211,0.316,0.239,0.171,0.137,0.051,0.777,0.484,0.355
"BTBD4;234;",NA,NA,0.027,0.219,0.006,0.109,0.002,0.147,0,0.12,0.013,0.245,0.023,0.108,0.011,0.126,0,0.2,0.036,0.116,0.004,0.122,0.022,0.217,0.006,0.078,0.011,0.432,0.004,0.127,0.01,0.123,0.016,0.355,0.009,0.25,0.001,0.295,0.001,0.161,0.004,0.177
"BTF3;171;",NA,NA,0,0.052,0,0.016,0,0.166,0,0.053,0.001,0.039,0.005,0.017,0.002,0.007,0,0.014,0.001,0.016,0.001,0,0.006,0.037,0.005,0.022,0.012,0.013,0,0.006,0,0.021,0.007,0.025,0,0.142,0.004,0.077,0.001,0.031,0,0.024
"BTF3L4;153;",NA,NA,0.001,0.174,0,0.077,0,0.022,0,0.093,0.003,0.021,0.002,0.053,0,0.014,0,0.016,0.004,0.056,0.001,0.016,0.006,0.07,0.004,0.058,0.013,0.035,0.001,0.026,0,0.009,0.004,0.043,0.006,0.125,0.006,0.144,0,0.049,0,0.062
"BTRC;127;",NA,NA,0.16,0.314,0.1,0.302,0.347,0.118,0.239,0.144,0.043,0.416,0.157,0.218,0.526,0.312,0.27,0.331,0.276,0.398,0.185,0.388,0.208,0.434,0.498,0.406,0.514,0.366,0.097,0.059,0.038,0.394,0.179,0.265,0.03,0.373,0.239,0.365,0.038,0.809,0.402,0.395
"BUD13;121;",NA,NA,0,0.068,0.001,0.007,0,0.07,0.001,0.014,0.001,0.039,0.005,0.033,0.001,0.012,0,0.015,0,0.016,0,0.01,0.004,0.059,0.003,0.01,0.003,0.045,0,0.009,0,0.01,0.009,0.056,0.003,0.211,0.004,0.095,0,0.06,0.001,0.034
"BUD13;131;",NA,NA,0.136,0.152,0.445,0.376,0.808,0.44,0.532,0.141,0.259,0.412,0.425,0.088,0.292,0.229,0.271,0.181,0.145,0.115,0.396,0.165,0.396,0.128,0.126,0.104,0.67,0.246,0.592,0.063,0.55,0.128,0.396,0.122,0.252,0.191,0.699,0.1,0.421,0.59,0.445,0.189
"BUD13;134;",NA,NA,0,0.1,0.001,0.11,0,0.114,0,0.071,0.001,0.046,0.001,0.047,0,0.027,0,0.028,0.002,0.028,0,0.007,0.004,0.075,0.001,0.023,0.003,0.232,0.001,0.03,0,0.019,0.069,0.122,0.046,0.115,0.038,0.047,0.088,0.026,0.013,0.091
"BUD13;135;",NA,NA,0.006,0.424,0.001,0.677,0.001,0.569,0.001,0.751,0.013,0.825,0.013,0.565,0.006,0.48,0,0.331,0.032,0.15,0.001,0.255,0.003,0.329,0.008,0.611,0.006,0.498,0.004,0.623,0.001,0.504,0.015,0.384,0.01,0.663,0.007,0.785,0.011,0.22,0.001,0.599
"BUD13;144;",NA,NA,0.012,0.089,0.058,0.247,0.008,0.163,0.249,0.106,0.017,0.33,0.064,0.009,0.036,0.015,0.04,0.03,0.013,0.034,0.012,0.007,0.013,0.032,0.017,0.01,0.033,0.126,0.242,0.008,0.028,0.013,0.16,0.049,0.013,0.127,0.054,0.081,0.026,0.254,0.038,0.069
"BUD13;148;",NA,NA,0.015,0.481,0.044,0.661,0.011,0.596,0.279,0.867,0.003,0.746,0.076,0.555,0.023,0.428,0.04,0.241,0.037,0.178,0.013,0.307,0.012,0.367,0.015,0.616,0.032,0.455,0.211,0.732,0.016,0.513,0.164,0.355,0.012,0.609,0.066,0.765,0.021,0.198,0.023,0.584
"BUD13;157;",NA,NA,0.007,0.063,0.008,0.064,0.001,0.053,0,0.043,0.009,0.184,0.005,0.015,0.009,0.025,0,0.043,0.008,0.04,0,0.008,0.001,0.058,0.008,0.022,0.006,0.068,0.003,0.03,0.001,0.009,0.009,0.077,0.006,0.097,0.002,0.047,0,0.25,0.001,0.056
"BUD13;161;",NA,NA,0.008,0.431,0.001,0.703,0.002,0.567,0.001,0.751,0.01,0.832,0.011,0.608,0.008,0.57,0,0.369,0.034,0.193,0.001,0.319,0.001,0.279,0.01,0.546,0.001,0.475,0.005,0.574,0,0.524,0.009,0.342,0.014,0.62,0.01,0.516,0.012,0.265,0,0.566
"BUD13;183;",NA,NA,0.322,0.258,0.112,0.355,0.045,0.399,0.656,0.124,0.099,0.383,0.434,0.108,0.093,0.09,0.206,0.176,0.197,0.27,0.138,0.132,0.268,0.044,0.065,0.046,0.124,0.197,0.319,0.029,0.128,0.049,0.455,0.157,0.144,0.219,0.138,0.111,0.033,0.545,0.41,0.145
"BUD13;187;",NA,NA,0.245,0.599,0.105,0.772,0.018,0.651,0.697,0.881,0.025,0.844,0.305,0.598,0.046,0.541,0.089,0.446,0.122,0.407,0.085,0.514,0.25,0.372,0.047,0.646,0.127,0.563,0.316,0.669,0.114,0.549,0.453,0.478,0.068,0.686,0.158,0.805,0.03,0.59,0.332,0.69
"BUD13;196;",NA,NA,0.052,0.124,0.148,0.379,0.108,0.388,0.287,0.233,0.034,0.394,0.182,0.099,0.118,0.224,0.057,0.183,0.056,0.073,0.075,0.161,0.04,0.111,0.026,0.079,0.185,0.195,0.308,0.066,0.052,0.192,0.348,0.095,0.187,0.161,0.35,0.097,0.236,0.453,0.18,0.177
"BUD13;200;",NA,NA,0.015,0.472,0.044,0.648,0.011,0.542,0.278,0.86,0.008,0.818,0.079,0.538,0.025,0.437,0.04,0.324,0.029,0.172,0.014,0.291,0.013,0.357,0.016,0.617,0.034,0.481,0.211,0.8,0.016,0.501,0.155,0.393,0.009,0.694,0.064,0.816,0.025,0.252,0.022,0.622
"BUD13;222;",NA,NA,0.073,0.202,0.158,0.381,0.023,0.447,0.651,0.138,0.059,0.408,0.108,0.099,0.107,0.09,0.093,0.202,0.047,0.163,0.092,0.125,0.084,0.08,0.02,0.081,0.114,0.17,0.333,0.046,0.126,0.062,0.562,0.189,0.198,0.166,0.269,0.099,0.205,0.549,0.171,0.175
"BUD13;226;",NA,NA,0.015,0.478,0.044,0.646,0.011,0.539,0.279,0.87,0.002,0.781,0.074,0.561,0.018,0.417,0.04,0.279,0.035,0.175,0.013,0.296,0.014,0.347,0.012,0.611,0.029,0.477,0.21,0.814,0.015,0.509,0.158,0.42,0.014,0.684,0.065,0.786,0.021,0.206,0.023,0.606
"BUD13;251;",NA,NA,0.001,0.408,0,0.645,0,0.672,0,0.918,0.007,0.74,0.006,0.339,0.009,0.474,0.001,0.215,0.003,0.289,0.002,0.352,0.007,0.164,0.01,0.422,0.01,0.296,0.002,0.697,0,0.366,0.06,0.247,0.044,0.482,0.045,0.396,0.08,0.098,0.016,0.197
"BUD13;259;",NA,NA,0.002,0.086,0.005,0.111,0.001,0.139,0,0.104,0.002,0.292,0.01,0.024,0.006,0.03,0,0.069,0.006,0.079,0.002,0.04,0.008,0.055,0.007,0.042,0.019,0.027,0.002,0.048,0.002,0.038,0.011,0.126,0.014,0.105,0.003,0.087,0,0.107,0.01,0.154
"BUD13;262;",NA,NA,0.001,0.181,0.001,0.078,0,0.024,0,0.116,0.003,0.02,0,0.123,0.003,0.068,0,0.037,0.01,0.045,0,0.025,0.008,0.156,0.005,0.159,0.003,0.162,0,0.07,0,0.17,0.002,0.184,0.001,0.168,0,0.118,0.002,0.19,0,0.276
"BUD13;297;",NA,NA,0.035,0.149,0.101,0.385,0.029,0.434,0.377,0.314,0.011,0.351,0.102,0.147,0.038,0.242,0.052,0.203,0.041,0.128,0.042,0.179,0.026,0.112,0.028,0.151,0.067,0.377,0.293,0.111,0.035,0.229,0.233,0.208,0.036,0.295,0.07,0.199,0.033,0.634,0.049,0.291
"BUD13;341;",NA,NA,0,0.159,0.006,0.042,0,0.053,0.001,0.021,0.001,0.393,0.008,0.061,0.002,0.07,0,0.024,0.007,0.083,0,0.01,0.011,0.086,0.006,0.014,0.012,0.22,0,0.049,0.001,0.012,0.01,0.102,0.001,0.137,0.007,0.1,0,0.062,0.001,0.023
"BUD13;344;",NA,NA,0,0.441,0,0.672,0,0.608,0,0.879,0,0.79,0.001,0.578,0,0.483,0,0.27,0,0.139,0,0.268,0,0.299,0,0.505,0,0.403,0.001,0.763,0,0.518,0.07,0.246,0.111,0.546,0.088,0.529,0.176,0.117,0.023,0.497
"BUD13;389;",NA,NA,0,0.154,0.001,0.068,0,0.164,0,0.079,0,0.232,0.001,0.105,0.003,0.088,0,0.181,0.021,0.088,0.001,0.017,0.008,0.13,0.01,0.095,0.01,0.357,0,0.081,0.001,0.187,0.015,0.12,0.004,0.268,0.002,0.24,0.022,0.217,0.008,0.174
"BUD13;391;",NA,NA,0,0.091,0.006,0.044,0,0.015,0,0.009,0.001,0.186,0,0.034,0.002,0.017,0,0.015,0.007,0.049,0,0.007,0.004,0.025,0.007,0.014,0.003,0.006,0,0.019,0,0.01,0.021,0.029,0.001,0.061,0.002,0.026,0.021,0.013,0,0.051
"BUD13;394;",NA,NA,0,0.205,0,0.558,0,0.56,0,0.741,0,0.75,0.001,0.559,0,0.486,0,0.286,0,0.115,0,0.216,0,0.292,0.003,0.425,0.002,0.343,0,0.729,0,0.498,0.081,0.246,0.061,0.553,0.055,0.499,0.109,0.13,0.032,0.498
"BW;414;",NA,NA,0.139,0.954,0.06,0.94,0.103,0.99,0.214,0.979,0.023,0.934,0.105,0.95,0.27,0.981,0.218,0.92,0.266,0.913,0.118,0.975,0.139,0.857,0.476,0.952,0.095,0.788,0.073,0.95,0.017,0.936,0.195,0.921,0.017,0.736,0.04,0.881,0.04,0.916,0.169,0.848
"BW;516;",NA,NA,0.193,0.256,0.022,0.347,0.733,0.054,0.034,0.135,0.106,0.093,0.172,0.337,0.201,0.383,0.088,0.312,0.07,0.26,0.171,0.435,0.083,0.35,0.068,0.597,0.564,0.346,0.21,0.174,0.019,0.515,0.031,0.609,0.033,0.206,0.228,0.272,0.108,0.702,0.367,0.358
"BYSL;97;",NA,NA,0.003,0.09,0.007,0.068,0,0.229,0,0.055,0.004,0.238,0.005,0.023,0.012,0.058,0,0.021,0.01,0.055,0.002,0.017,0.021,0.083,0.028,0.024,0.024,0.196,0.014,0.064,0.003,0.023,0.009,0.104,0.012,0.231,0.004,0.153,0.004,0.075,0.001,0.135
"BZRP;165;",NA,NA,0.441,0.145,0.472,0.059,0.805,0.042,0.008,0.028,0.27,0.038,0.34,0.102,0.151,0.149,0.574,0.114,0.319,0.098,0.537,0.094,0.563,0.104,0.335,0.11,0.506,0.078,0.463,0.171,0.711,0.078,0.183,0.178,0.533,0.149,0.459,0.111,0.764,0.137,0.338,0.141
"BZW2;412;",NA,NA,0.003,0.171,0.011,0.107,0.001,0.166,0,0.048,0.013,0.167,0.003,0.071,0.008,0.064,0,0.045,0.013,0.092,0.002,0.015,0.025,0.103,0.028,0.062,0.018,0.114,0.015,0.132,0.003,0.075,0.013,0.146,0.016,0.136,0.003,0.189,0.004,0.093,0.003,0.114
"BZW2;414;",NA,NA,0.001,0.223,0.003,0.023,0,0.242,0,0.112,0.004,0.273,0.005,0.061,0.004,0.1,0,0.071,0.012,0.089,0,0.01,0.009,0.105,0.002,0.057,0.002,0.036,0.003,0.405,0.001,0.014,0.011,0.12,0.007,0.106,0.009,0.118,0.007,0.065,0.018,0.175
"C130039O16RIK;456;",NA,NA,0.724,0.228,0.608,0.294,0.917,0.339,0.32,0.457,0.495,0.119,0.476,0.275,0.565,0.284,0.784,0.345,0.636,0.381,0.669,0.418,0.721,0.442,0.831,0.185,0.606,0.296,0.561,0.379,0.742,0.216,0.448,0.24,0.709,0.272,0.708,0.212,0.953,0.709,0.605,0.376
"C1GALT1;69;",NA,NA,0,0.135,0.006,0.115,0,0.036,0,0.079,0,0.201,0.006,0.157,0.007,0.089,0,0.158,0.045,0.126,0.006,0.024,0.008,0.109,0.008,0.201,0.01,0.418,0.001,0.065,0.004,0.255,0.011,0.184,0.002,0.165,0.005,0.203,0.003,0.213,0,0.286
"C1GALT1;70;",NA,NA,0.006,0.12,0.006,0.13,0.001,0.034,0,0.111,0.01,0.145,0.003,0.101,0.009,0.061,0.001,0.107,0.011,0.089,0,0.016,0.004,0.057,0.015,0.133,0.016,0.306,0.001,0.048,0,0.205,0.011,0.125,0.009,0.186,0.004,0.17,0,0.124,0.002,0.086
"C2CD2;506;",NA,NA,0.442,0.084,0.35,0.098,0.796,0.026,0.007,0.065,0.251,0.015,0.358,0.04,0.125,0.005,0.573,0.015,0.246,0.02,0.519,0.016,0.54,0.047,0.315,0.075,0.517,0.104,0.462,0.042,0.701,0.041,0.17,0.188,0.534,0.24,0.409,0.135,0.761,0.059,0.321,0.041
"C2CD2;507;",NA,NA,0.005,0.076,0.007,0.195,0.074,0.127,0.001,0.178,0.017,0.06,0.031,0.066,0.036,0.09,0.002,0.095,0.01,0.05,0.042,0.076,0.013,0.132,0.002,0.093,0.045,0.117,0.004,0.361,0.005,0.035,0.014,0.262,0.014,0.185,0.011,0.137,0.01,0.091,0.039,0.168
"C2CD2;511;",NA,NA,0,0.208,0,0.097,0,0.059,0,0.159,0,0.044,0.001,0.072,0.002,0.028,0,0.038,0,0.085,0,0.02,0,0.028,0.002,0.057,0.002,0.227,0,0.025,0,0.07,0.02,0.103,0.009,0.151,0.013,0.037,0.027,0.043,0.012,0.053
"C2CD2;514;",NA,NA,0.001,0.112,0.001,0.057,0.001,0.012,0,0.097,0.01,0.032,0.004,0.045,0.004,0.013,0,0.032,0.005,0.035,0,0.021,0.002,0.074,0.003,0.118,0.002,0.082,0.001,0.112,0.001,0.023,0.023,0.208,0.012,0.223,0.012,0.138,0.024,0.064,0.012,0.11
"C2CD2;647;",NA,NA,0,0.076,0.003,0.14,0,0.049,0,0.069,0,0.075,0.004,0.018,0,0.006,0,0.008,0.001,0.009,0,0.013,0.007,0.157,0.004,0.055,0.011,0.069,0.001,0.033,0,0.022,0.01,0.107,0.002,0.131,0.002,0.106,0,0.045,0,0.009
"C2CD2;649;",NA,NA,0,0.203,0,0.139,0,0.123,0.007,0.099,0,0.291,0.001,0.085,0.004,0.051,0,0.034,0,0.035,0,0.016,0.015,0.293,0.005,0.103,0.005,0.13,0.012,0.06,0.01,0.059,0.019,0.155,0.011,0.128,0.003,0.141,0.002,0.062,0,0.06
"C2CD2L;411;",NA,NA,0,0.382,0.003,0.586,0,0.649,0.018,0.905,0.002,0.792,0.021,0.522,0.019,0.492,0.001,0.255,0.048,0.37,0.005,0.391,0.01,0.191,0.028,0.373,0.018,0.469,0.027,0.833,0.015,0.422,0.032,0.347,0.007,0.551,0.009,0.303,0.035,0.205,0.005,0.255
"C2CD2L;417;",NA,NA,0.137,0.424,0.085,0.441,0.096,0.198,0.217,0.331,0.011,0.214,0.103,0.384,0.231,0.348,0.203,0.553,0.177,0.576,0.114,0.539,0.135,0.469,0.464,0.119,0.077,0.763,0.08,0.426,0.027,0.334,0.172,0.259,0.015,0.294,0.023,0.195,0.011,0.841,0.158,0.462
"C2CD2L;613;",NA,NA,0.004,0.1,0,0.012,0,0.017,0,0.016,0.003,0.026,0.011,0.151,0.016,0.269,0,0.197,0.021,0.104,0.001,0.07,0.007,0.287,0.01,0.143,0.011,0.222,0.007,0.122,0.001,0.119,0.078,0.217,0.127,0.338,0.081,0.2,0.177,0.135,0.023,0.126
"C2CD2L;619;",NA,NA,0,0.15,0.001,0.096,0,0.024,0,0.131,0,0.054,0.001,0.046,0.006,0.017,0,0.024,0.001,0.05,0.002,0.024,0.004,0.069,0.005,0.059,0.007,0.041,0,0.129,0.001,0.011,0.003,0.074,0.01,0.174,0.004,0.104,0,0.06,0.001,0.046
"C2CD2L;623;",NA,NA,0,0.1,0.002,0.043,0,0.108,0.001,0.015,0,0.098,0.017,0.057,0.016,0.023,0.001,0.096,0.027,0.114,0.004,0.087,0.011,0.075,0.015,0.062,0.015,0.043,0.001,0.055,0.008,0.009,0.027,0.078,0.01,0.118,0.013,0.095,0.025,0.08,0.013,0.069
"C2CD2L;660;",NA,NA,0.001,0.06,0.003,0.107,0,0.052,0,0.018,0,0.102,0.001,0.049,0.001,0.086,0,0.022,0.003,0.041,0.001,0.006,0.013,0.1,0,0.04,0.012,0.05,0.001,0.348,0,0.032,0.002,0.194,0.001,0.11,0.001,0.117,0,0.066,0,0.094
"C2F;16;",NA,NA,0.642,0.201,0.51,0.295,0.932,0.218,0.254,0.238,0.486,0.25,0.512,0.301,0.616,0.264,0.793,0.401,0.629,0.376,0.707,0.524,0.706,0.565,0.843,0.382,0.723,0.313,0.563,0.105,0.757,0.289,0.472,0.376,0.706,0.424,0.708,0.33,0.956,0.768,0.604,0.369
"C3;671;",NA,NA,0.54,0.126,0.466,0.115,0.805,0.069,0.084,0.041,0.327,0.06,0.408,0.132,0.166,0.057,0.577,0.138,0.288,0.073,0.492,0.093,0.562,0.101,0.32,0.162,0.556,0.166,0.464,0.054,0.734,0.145,0.156,0.377,0.543,0.197,0.454,0.169,0.769,0.158,0.344,0.13
"C78339;31;",NA,NA,0.208,0.513,0.121,0.561,0.136,0.781,0.218,0.417,0.019,0.546,0.194,0.455,0.285,0.681,0.22,0.682,0.289,0.875,0.129,0.887,0.157,0.544,0.476,0.394,0.099,0.753,0.093,0.706,0.027,0.565,0.191,0.444,0.067,0.616,0.053,0.354,0.018,0.895,0.185,0.445
"C78339;45;",NA,NA,0.127,0.938,0.063,0.918,0.104,0.911,0.208,0.9,0.011,0.772,0.105,0.845,0.25,0.84,0.222,0.736,0.266,0.914,0.12,0.96,0.152,0.896,0.478,0.86,0.095,0.897,0.082,0.714,0.025,0.871,0.257,0.674,0.127,0.708,0.138,0.878,0.185,0.907,0.19,0.804
"C78339;70;",NA,NA,0.646,0.275,0.602,0.368,0.939,0.26,0.271,0.228,0.492,0.369,0.516,0.166,0.612,0.272,0.792,0.319,0.613,0.395,0.668,0.384,0.71,0.488,0.861,0.393,0.626,0.348,0.556,0.059,0.568,0.345,0.462,0.179,0.702,0.318,0.704,0.276,0.953,0.751,0.579,0.496
"CABIN1;1702;",NA,NA,0,0.183,0.004,0.033,0,0.084,0,0.065,0,0.141,0.012,0.047,0.009,0.043,0,0.071,0.024,0.149,0.004,0.037,0.006,0.098,0.005,0.014,0.01,0.434,0,0.048,0.008,0.124,0.004,0.103,0.003,0.231,0.003,0.099,0.002,0.035,0,0.061
"CABIN1;2121;",NA,NA,0.188,0.795,0.15,0.883,0.153,0.867,0.267,0.878,0.028,0.755,0.159,0.723,0.355,0.801,0.22,0.807,0.229,0.926,0.15,0.865,0.173,0.917,0.504,0.86,0.065,0.891,0.11,0.896,0.034,0.788,0.207,0.646,0.073,0.809,0.025,0.906,0.038,0.967,0.156,0.889
"CABIN1;2123;",NA,NA,0.187,0.538,0.149,0.639,0.159,0.316,0.318,0.49,0.014,0.694,0.183,0.316,0.324,0.378,0.219,0.383,0.168,0.512,0.158,0.596,0.158,0.527,0.481,0.34,0.063,0.369,0.173,0.092,0.036,0.336,0.183,0.274,0.06,0.342,0.025,0.211,0.028,0.834,0.165,0.357
"CABLES1;203;",NA,NA,0.99,0.313,0.999,0.581,1,0.459,0.994,0.242,0.992,0.586,0.991,0.177,0.962,0.352,1,0.411,0.992,0.44,0.978,0.535,0.995,0.64,0.987,0.425,0.995,0.443,0.986,0.197,0.87,0.373,0.968,0.329,0.989,0.35,0.986,0.358,0.995,0.784,0.988,0.515
"CABLES1;248;",NA,NA,0.99,0.286,0.993,0.592,1,0.538,0.997,0.308,0.981,0.556,0.958,0.134,0.924,0.263,0.995,0.334,0.899,0.426,0.925,0.464,0.977,0.384,0.949,0.372,0.801,0.398,0.978,0.507,0.751,0.335,0.93,0.388,0.946,0.434,0.891,0.381,0.988,0.792,0.941,0.491
"CABLES1;251;",NA,NA,0.516,0.273,0.338,0.678,0.197,0.509,0.974,0.228,0.166,0.586,0.567,0.14,0.581,0.173,0.426,0.292,0.523,0.437,0.359,0.508,0.435,0.472,0.58,0.348,0.246,0.426,0.518,0.062,0.188,0.338,0.625,0.312,0.309,0.46,0.167,0.229,0.052,0.777,0.567,0.48
"CABLES1;252;",NA,NA,0.005,0.125,0.005,0.017,0.001,0.077,0,0.243,0.011,0.111,0.004,0.331,0.002,0.301,0,0.358,0.003,0.203,0,0.321,0.005,0.196,0.002,0.535,0.003,0.42,0.003,0.155,0.001,0.443,0.063,0.57,0.046,0.201,0.023,0.224,0.03,0.061,0.02,0.284
"CABLES1;270;",NA,NA,0.976,0.318,0.972,0.505,0.989,0.5,0.988,0.241,0.873,0.652,0.962,0.272,0.866,0.422,1,0.295,0.778,0.424,0.96,0.417,0.963,0.386,0.951,0.308,0.933,0.361,0.978,0.133,0.96,0.214,0.859,0.248,0.864,0.361,0.73,0.152,0.828,0.737,0.937,0.3
"CABLES1;272;",NA,NA,0.988,0.29,0.976,0.515,0.998,0.453,0.983,0.178,0.978,0.639,0.979,0.175,0.959,0.234,1,0.294,0.961,0.423,0.955,0.39,0.985,0.44,0.987,0.269,0.978,0.258,0.977,0.069,0.894,0.194,0.96,0.261,0.972,0.349,0.955,0.283,0.992,0.663,0.979,0.345
"CABLES1;376;",NA,NA,0.861,0.324,0.957,0.612,1,0.407,0.989,0.226,0.958,0.472,0.987,0.308,0.97,0.413,0.978,0.342,0.764,0.412,0.969,0.522,0.985,0.536,0.951,0.226,0.978,0.434,0.818,0.111,0.976,0.252,0.75,0.158,0.626,0.259,0.757,0.159,0.8,0.774,0.945,0.363
"CABLES1;379;",NA,NA,0.136,0.376,0.094,0.283,0.101,0.183,0.247,0.527,0.018,0.211,0.12,0.412,0.247,0.525,0.21,0.586,0.249,0.462,0.137,0.603,0.138,0.495,0.463,0.329,0.089,0.563,0.097,0.194,0.031,0.412,0.149,0.411,0.046,0.515,0.035,0.301,0.015,0.83,0.17,0.396
"CABLES1;382;",NA,NA,0.144,0.494,0.121,0.525,0.142,0.128,0.234,0.419,0.013,0.441,0.189,0.451,0.253,0.58,0.222,0.448,0.169,0.522,0.143,0.452,0.134,0.516,0.482,0.251,0.091,0.559,0.087,0.211,0.027,0.351,0.179,0.309,0.05,0.273,0.027,0.161,0.016,0.82,0.162,0.371
